Sr_No,Symptoms 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Disease,Remedy
92,reddened areas,flaky skin,None,blisters,ring shape,itchiness,burning sensation,None,None,None,None,None,None,None,None,rash,Jock Itch,"If you don’t treat jock itch, it can last months. But over-the-counter medicines called antifungals can usually clear it up in a few weeks. They’re available in creams, powders, and sprays.Reduce your risk of jock itch by taking these steps:

Stay dry. Keep your groin area dry. Dry your genital area and inner thighs thoroughly with a clean towel after showering or exercising. Dry your feet last to avoid spreading athlete's foot fungus to the groin area.
Wear clean clothes. Change your underwear at least once a day or more often if you sweat a lot. It helps to wear underwear made of cotton or other fabric that breathes and keeps the skin drier. Wash workout clothes after each use.
Find the correct fit. Make sure your clothes fit correctly, especially underwear, athletic supporters and sports uniforms. Avoid tight-fitting clothes, which can rub and chafe your skin and put you at increased risk of jock itch. Try wearing boxer shorts rather than briefs.
Don't share personal items. Don't let others use your clothing, towels or other personal items. Don't borrow such items from others.
Treat or prevent athlete's foot. Control any athlete's foot infection to prevent its spread to the groin. If you spend time in moist public areas, such as a gym shower, wearing sandals will help prevent athlete's foot."
93,tight skin,hardened skin,red pots on skin,lines on skin,bumbs under skin,difficulty swallowing,None,None,None,None,None,None,None,None,None,None,Scleroderma,"In some cases, the skin problems associated with scleroderma fade away on their own in two to five years. The type of scleroderma that affects internal organs usually worsens with time. There is no medication that can cure or stop the overproduction of collagen that is characteristic of scleroderma. But a variety of medications can help control scleroderma symptoms and prevent complications."
94,None,dry patches,redness,blisters,None,itchiness,None,None,None,None,None,None,None,None,None,rash,Nickel Allergy,"If you have a skin rash and don't know how you got it, talk to your doctor. If you've already been diagnosed with nickel allergy and are sure you're reacting to nickel exposure, use the over-the-counter treatments and home remedies your doctor has previously recommended. However, if these treatments don't help, call your doctor. If you think the area may have become infected, see your doctor right away. Signs and symptoms that might indicate an infection include:

Increased redness
Warmth
Pus in the affected area
Pain"
95,fever,redness in ear,fluid drainage,muffled hearing,ear ache,itching in ears,ear blockage,swelling in neck,None,None,None,None,None,None,None,None,None,"Contact your doctor if you have even mild signs or symptoms of swimmer's ear.

Call your doctor immediately or visit the emergency room if you have:

Severe pain
Fever"
96,fever,numbness,None,blisters,swelling,severe pain,None,None,None,None,None,None,None,confusion,shortness of breath,None,Gangrene,"Here are a few suggestions to help you reduce your risk of developing gangrene:
 - Care for your diabetes. If you have diabetes, make sure you examine your hands and feet daily for cuts, sores, and signs of infection, such as redness, swelling or drainage. Ask your doctor to examine your hands and feet at least once a year, and try to maintain control over your blood sugar levels.
 - Lose weight. Excess pounds not only put you at risk of diabetes but also place pressure on your arteries, constricting blood flow and putting you at risk of infection and slow wound healing.
 - Don't use tobacco. The chronic use of tobacco products can damage your blood vessels.
 - Help prevent infections. Wash any open wounds with a mild soap and water and try to keep them clean and dry until they heal.
 - Watch out when the temperature drops. Frostbitten skin can lead to gangrene because frostbite reduces blood circulation in an affected area.
Gangrene is a serious condition and needs emergency treatment. Call your doctor right away if you have persistent, unexplained pain in any area of your body along with one or more of the following signs and symptoms:"
97,swollen or puffy gums,bad breath,gums that bleed,tender gums,dusky red or dark red gums,receding gums,None,None,None,None,None,None,None,None,None,None,Gingivitis,"Prevention
 - Good oral hygiene. That means brushing your teeth for two minutes at least twice daily — in the morning and before going to bed — and flossing at least once a day.
 - Regular dental visits. See your dentist or dental hygienist regularly for cleanings, usually every six to 12 months. If you have risk factors that increase your chance of developing periodontitis — such as having dry mouth, taking certain medications or smoking — you may need professional cleaning more often.
 - Good health practices. Practices such as healthy eating and managing blood sugar if you have diabetes also are important to maintain gum health.
If you notice any signs and symptoms of gingivitis, schedule an appointment with your dentist. "
98,patchy blind spots in your vision,headache,None,vision problem,None,None,None,eye redness,None,vomiting,None,nausea,eye pain,None,None,None,Glaucoma,"These self-care steps can help you detect glaucoma in its early stages, which is important in preventing vision loss or slowing its progress.
 - Get regular dilated eye examinations. Regular comprehensive eye exams can help detect glaucoma in its early stages, before significant damage occurs.
 - Know your family's eye health history. Glaucoma tends to run in families. If you're at increased risk, you may need more frequent screening.
 - Exercise safely. Regular, moderate exercise may help prevent glaucoma by reducing eye pressure. Talk with your doctor about an appropriate exercise program.
 - Wear eye protection. Serious eye injuries can lead to glaucoma. Wear eye protection when using power tools or playing high-speed racket sports in enclosed courts.
Promptly go to an emergency room or an eye doctor's (ophthalmologist's) office if you experience some of the symptoms of acute angle-closure glaucoma, such as severe headache, eye pain and blurred vision."
99,swollen or puffy gums,bad breath,gums that bleed,painful chewing,loose teeth,bright red gums,spitting out blood when brushing,None,None,None,None,None,None,None,None,None,Periodontitis,"The best way to prevent periodontitis is to follow a program of good oral hygiene, one that you begin early and practice consistently throughout life.
 - Good oral hygiene. That means brushing your teeth for two minutes at least twice daily — in the morning and before going to bed — and flossing at least once a day.
 - Regular dental visits. See your dentist or dental hygienist regularly for cleanings, usually every six to 12 months.
Follow your dentist's recommended schedule for regular checkups. If you notice any symptoms of periodontitis."
100,fever,headache,None,None,low blood pressure,chills,None,diarrhea,cough,vomiting,abdominal pain,None,None,muscle ache,shortness of breath,None,Hantavirus pulmonary syndrome,"Keeping rodents out of your home and workplace can help reduce your risk of hantavirus infection. Try these tips:
 - Block access. Mice can squeeze through holes as small as 1/4 inch (6 millimeters) wide. Seal holes with wire screening, metal flashing or cement.
 - Close the food buffet. Wash dishes promptly, clean counters and floors, and store your food — including pet food — in rodent-proof containers. Use tightfitting lids on garbage cans.
 - Reduce nesting material. Clear brush, grass and junk away from the building's foundation.
 - Set traps. Spring-loaded traps should be set along baseboards. Exercise caution while using poison-bait traps, as the poison also can harm people and pets.
The signs and symptoms of hantavirus pulmonary syndrome can worsen suddenly and may quickly become life-threatening. If you've been around rodents or rodent droppings and have signs and symptoms of fever, chills, muscle aches or any difficulties breathing, seek immediate medical attention."
101,None,difficulty understanding words,muffled voice,None,withdrawal from conversations,None,None,trouble hearing,None,None,None,None,None,None,None,None,Hearing loss,"The following steps can help you prevent noise-induced hearing loss and avoid worsening of age-related hearing loss:
 - Protect your ears. Limiting the duration and intensity of your exposure to noise is the best protection. In the workplace, plastic earplugs or glycerin-filled earmuffs can help protect your ears from damaging noise.
 - Have your hearing tested. Consider regular hearing tests if you work in a noisy environment. If you've lost some hearing, you can take steps to prevent further loss.
 - Avoid recreational risks. Activities such as riding a snowmobile, hunting, using power tools or listening to rock concerts can damage your hearing over time.
If you have a sudden loss of hearing, particularly in one ear, seek immediate medical attention."
102,itching in anal region,irritation in anal region,pain or discomfort,swelling around your anus,bleeding,severe pain,inflammation,None,None,None,None,None,None,None,None,None,Hemorrhoids,"The best way to prevent hemorrhoids is to keep your stools soft, so they pass easily. To prevent hemorrhoids and reduce symptoms of hemorrhoids, follow these tips:
 - Eat high-fiber foods. Eat more fruits, vegetables and whole grains. Doing so softens the stool and increases its bulk, which will help you avoid the straining that can cause hemorrhoids. Add fiber to your diet slowly to avoid problems with gas.
 - Drink plenty of fluids. Drink six to eight glasses of water and other liquids (not alcohol) each day to help keep stools soft.
 - Consider fiber supplements. Most people don't get enough of the recommended amount of fiber — 20 to 30 grams a day — in their diet.
 - Don't strain. Straining and holding your breath when trying to pass a stool creates greater pressure in the veins in the lower rectum.
 - Go as soon as you feel the urge. If you wait to pass a bowel movement and the urge goes away, your stool could dry out and be harder to pass.
 - Exercise. Stay active to help prevent constipation and to reduce pressure on veins, which can occur with long periods of standing or sitting.
If you have bleeding during bowel movements or you have hemorrhoids that don't improve after a week of home care, talk to your doctor."
103,None,None,None,fatigue,yellowing of skin,None,None,None,None,vomiting,abdominal pain,nausea,None,None,None,None,Enlarged liver,"To reduce your risk of liver disease, you can:
 - Eat a healthy diet. Choose a diet full of fruits, vegetables and whole grains.
 - Drink alcohol in moderation, if at all. Check with your doctor to find out what's the right amount of alcohol for you, if any.
 - Follow directions when taking medications, vitamins or supplements. Limit yourself to the recommended doses.
 - Limit contact with chemicals. Use aerosol cleaners, insecticides and other toxic chemicals only in well-ventilated areas. Wear gloves, long sleeves and a mask.
 - Maintain a healthy weight. Eat a balanced diet and limit foods that are high in sugar and fat. If you're overweight, ask your doctor or a nutritionist about the best way for you to lose weight.
 - Quit smoking. Ask your doctor about strategies to help you quit.
Make an appointment with your doctor if you have symptoms that worry you."
104,None,headache,None,fatigue,restlessness,seizures,coma,None,None,vomiting,drowsiness,nausea,None,confusion,muscle weakness,None,Hyponatremia,"The following measures may help you prevent hyponatremia:
 - Treat associated conditions. Getting treatment for conditions that contribute to hyponatremia, such as adrenal gland insufficiency, can help prevent low blood sodium.
 - Educate yourself. If you have a medical condition that increases your risk of hyponatremia or you take diuretic medications, be aware of the signs and symptoms of low blood sodium.
 - Take precautions during high-intensity activities. Athletes should drink only as much fluid as they lose due to sweating during a race.
 - Drink water in moderation. Drinking water is vital for your health, so make sure you drink enough fluids. But don't overdo it. 
Seek emergency care for anyone who develops severe signs and symptoms of hyponatremia."
105,cramps,depression,brittle nail,fatigue,weakness,dry skin,None,hair loss,anxiety,None,None,None,None,muscle ache,None,None,Hypoparathyroidism,"There are no specific actions to prevent hypoparathyroidism. However, if you're scheduled to have thyroid or neck surgery, talk to your surgeon about the risk of damage to your parathyroid glands during the procedure. Your doctor may choose to test your calcium, parathyroid hormone and vitamin D levels and have you begin supplementation if needed before surgery.
If you have signs or symptoms associated with hypoparathyroidism, see your doctor for an evaluation."
